iter	MultiClass
0	0.9852461249
1	0.8877070192
2	0.8173933118
3	0.7565234015
4	0.6953108865
5	0.641340317
6	0.5967467994
7	0.5588505124
8	0.5219919007
9	0.4945820636
10	0.4666933287
11	0.4439390979
12	0.4244977274
13	0.4049404882
14	0.3874594407
15	0.367767736
16	0.3506477954
17	0.3377657618
18	0.3258218454
19	0.314889496
20	0.30610789
21	0.2964296471
22	0.2891032727
23	0.2812383673
24	0.274196007
25	0.2682731313
26	0.2616011011
27	0.2544441496
28	0.248315735
29	0.2427214087
30	0.238543967
31	0.2323144382
32	0.2266383656
33	0.2213998662
34	0.2155682632
35	0.2093264086
36	0.2051990744
37	0.201473937
38	0.1960759575
39	0.1926592159
40	0.1891143942
41	0.18637527
42	0.1826800084
43	0.1805571659
44	0.1775170762
45	0.1751064884
46	0.1726817696
47	0.1703711785
48	0.168481053
49	0.1664621376
50	0.1632689614
51	0.1614387031
52	0.159569263
53	0.1562203797
54	0.1546405006
55	0.1511648562
56	0.1496555277
57	0.147928952
58	0.1454923863
59	0.1439945916
60	0.1414591429
61	0.1395765376
62	0.1380359279
63	0.1367477229
64	0.1348910512
65	0.1331882623
66	0.1318818271
67	0.1306722947
68	0.129570481
69	0.1283918037
70	0.1266667532
71	0.1247541063
72	0.1232115756
73	0.1220307393
74	0.1208228998
75	0.1200891241
76	0.1191556071
77	0.1184226367
78	0.117498337
79	0.1163498301
80	0.1153809156
81	0.1144959489
82	0.1135611026
83	0.1129086301
84	0.111326602
85	0.1101145316
86	0.1094476876
87	0.1086593768
88	0.1077490188
89	0.1060979056
90	0.1052325587
91	0.1038991934
92	0.1031850187
93	0.1023472418
94	0.1010188091
95	0.1005490536
96	0.09962577497
97	0.09872112618
98	0.0979945332
99	0.09691800782
100	0.09574917353
101	0.0950775115
102	0.09402284096
103	0.09272854749
104	0.09201363765
105	0.09149146767
106	0.09069088488
107	0.08940105273
108	0.08920398697
109	0.08876618068
110	0.0884960025
111	0.08751293435
112	0.08695175514
113	0.08618205898
114	0.08551010048
115	0.08466950681
116	0.08410668528
117	0.0835352864
118	0.08306413841
119	0.08258775132
120	0.08188784591
121	0.08114503281
122	0.08053719907
123	0.08000947019
124	0.07930675995
125	0.07898083954
126	0.078149768
127	0.07783152978
128	0.07713389719
129	0.076500468
130	0.07549898752
131	0.07513669523
132	0.07458335305
133	0.07428680802
134	0.07403272507
135	0.07375683284
136	0.07333249717
137	0.07312660013
138	0.07275639106
139	0.07263702854
140	0.07228789939
141	0.07205202213
142	0.07123485746
143	0.07091307326
144	0.07026117018
145	0.07000461878
146	0.06957023366
147	0.06919479494
148	0.06902901733
149	0.06843563032
150	0.06813732657
151	0.06771451489
152	0.06754895094
153	0.067224696
154	0.06693170884
155	0.06673632771
156	0.06636532603
157	0.06622869458
158	0.06540747557
159	0.06516525073
160	0.06471315463
161	0.06439020151
162	0.06416251972
163	0.06377897777
164	0.06320389299
165	0.06280246662
166	0.06245355716
167	0.06207181432
168	0.06181745494
169	0.06139964148
170	0.06100734072
171	0.06069748846
172	0.0604452299
173	0.06010480138
174	0.05998143856
175	0.05985061299
176	0.05956138438
177	0.0593012993
178	0.05910932697
179	0.05874160676
180	0.05856068486
181	0.05844145611
182	0.05805228109
183	0.05794389788
184	0.05762383348
185	0.05731831766
186	0.0571332392
187	0.05660448994
188	0.05597804548
189	0.05551803046
190	0.0551600669
191	0.05478273437
192	0.05470785941
193	0.05439757492
194	0.05410274821
195	0.05387732429
196	0.05353984419
197	0.05334173384
198	0.05289509465
199	0.05273604532
200	0.05241278252
201	0.05202071627
202	0.0518100621
203	0.05170312143
204	0.05136135888
205	0.05122111765
206	0.0508491103
207	0.05058310725
208	0.05023347867
209	0.04976891735
210	0.04941708691
211	0.0492269184
212	0.04900542363
213	0.04864561728
214	0.04851895858
215	0.04837236999
216	0.04825419661
217	0.04792383811
218	0.04773675452
219	0.04758411141
220	0.04739626512
221	0.04712140527
222	0.04698531908
223	0.04671958626
224	0.04649774527
225	0.04624779939
226	0.04598165198
227	0.04577189059
228	0.04554486178
229	0.04543088454
230	0.0452645736
231	0.04502199008
232	0.0447693707
233	0.04435950413
234	0.04407165381
235	0.04386537501
236	0.04369689335
237	0.04353208366
238	0.04339343878
239	0.04324680811
240	0.04305607964
241	0.04267883368
242	0.04235928942
243	0.04206436999
244	0.0418775792
245	0.04170725245
246	0.04152290085
247	0.04141402643
248	0.04114063681
249	0.04083049292
250	0.04063045308
251	0.04054763282
252	0.04041740763
253	0.04031711179
254	0.04024730579
255	0.03993453613
256	0.03969808756
257	0.0395662374
258	0.0395036674
259	0.03943397327
260	0.03919146256
261	0.03906555043
262	0.03892959221
263	0.03880414337
264	0.0387347703
265	0.03859939296
266	0.03831186828
267	0.03808244774
268	0.03789859286
269	0.03779092982
270	0.03769680267
271	0.03760000074
272	0.03729789038
273	0.03702097315
274	0.03676416652
275	0.03661197946
276	0.03645823704
277	0.03630319164
278	0.03621081933
279	0.03609816072
280	0.03599713389
281	0.03579695608
282	0.03571741883
283	0.0355482777
284	0.03547159371
285	0.03531374173
286	0.03521543795
287	0.03511974026
288	0.03499951927
289	0.03493964681
290	0.03482492685
291	0.03452446739
292	0.03436452241
293	0.03427625871
294	0.034094592
295	0.0339717556
296	0.03375950256
297	0.03369947625
298	0.03364209951
299	0.03344768953
